Name,resultSubTitle,Address,mar0 2,Number2,Number
Soham Food Zone,Restaurant,"Jangali Maharaj Road, PMC","Maharashtrian, Veg",2025532702,
Shridutta Bhavan Hotel,Restaurant,"Alandi-Devachi, PCMC","Snacks, Veg",2027185717,
Atithi Restaurant,Restaurant,"Deccan Gymkhana, PMC","Maharashtrian, Veg",2025532029,
Damodar P30,Restaurant,"Bibwewadi, PMC","Maharashtrian, Snacks, Veg",7798230828,
Shri Shivaji Chitra Mandir Canteen,Restaurant,"Talegaon Dabhade, PMC","Snacks, Veg",2114226874,
Hotel Varshasagar,Restaurant,"Kothrud, PMC","Snacks, Veg",2025451704,
Nandu's Paranthas,Restaurant,"Dhole Patil Road, PMC","Punjabi, Veg",2026054366,
Shri Datta Restaurant,Restaurant,"Haveli, PMC","Snacks, Veg",2026928485,
Siddarth Veg Restaurant,Restaurant,"Camp, PMC","Indian,Multi-Cuisine, Veg",2026131120,
Gipssy Hotel,Restaurant,"Karve Nagar, PMC","Punjabi, Veg",9371730445,
Maharashtra Restaurant,Restaurant,"Pimpri, PCMC","Maharashtrian, Veg",2060300056,
Geeta Pav Bhaji,Restaurant,"Nigdi, PCMC","Snacks, Veg",2027656882,
Chetak Restaurant,Restaurant,"Budhwar Peth, PMC","Snacks, Veg",2026874339,9850494849
Karachi Lunch Home,Restaurant,"Budhwar Peth, PMC","Maharashtrian, Veg",2024486494,
Satvik Thali Restaurant,Restaurant,"Sadashiv Peth, PMC","Maharashtrian, Veg",2024475567,
Mangalmurti Hotel,Restaurant,"Narayangaon, PMC","Maharashtrian, Veg",2132242793,
Hotel Ronak,Restaurant,"Budhwar Peth, PMC","Street Food, Veg",2024455324,
Supreme Restaurant,Restaurant,"Shivaji Nagar, PMC","Multi-Cuisine, Veg",2025533581,
Market Tea,Restaurant,"Budhwar Peth, PMC","Fast Food, Veg",,
Mamata Dinning Hall,Restaurant,"Balewadi, PCMC","North Indian, South Indian, Veg",9822360750,
Smita Hotel,Restaurant,"Talegaon Dabhade, PMC","Snacks, Veg",2114222464,
Shiv Krupa Vadapav Centre,Restaurant,"Uruli, PMC","Snacks,Street Food, Veg",2026929058,
Akshay Restaurant,Restaurant,"Budhwar Peth, PMC","Maharashtrian, Veg",2024456275,
Nityanand Bhavan Restaurant,Restaurant,"Shukrawar Peth, PMC","South Indian, Veg",2024470630,
Cafe Punjab Hotel,Restaurant,"Khadki, PMC","Punjabi, Veg",2025819385,
Alankar Restaurant,Restaurant,"Ranjani, PMC","Indian, Veg",2133282132,
Nataraj Bhojanalay,Restaurant,"Narayangaon, PMC","Maharashtrian, Veg",2132245945,
Chetna Restaurant,Restaurant,"Budhwar Peth, PMC","Gujarati, Veg",2024475454,
Namrata Restaurant,Restaurant,"Kothrud, PMC","Indian, Veg",2025458236,
Kalyan Bhel,Restaurant,"Kalyani Nagar, PMC","Chat, Veg",9371711112,
Khandish Hotel,Restaurant,"Bhor, PMC","Snacks, Veg",2113224202,
Dhanshri Restaurant,Restaurant,"Talegaon Dabhade, PMC","Snacks, Veg",9881861187,
Udipi Mangal Vihar Restaurant,Restaurant,"Camp, PMC","South Indian, Veg",2026134719,
Hotel Aapulki,Restaurant,"Dhankawadi, PMC","North East Indian, Veg",2024373033,
Laxmi Bhel House,Restaurant,"Bhosari, PCMC","Snacks, Veg",9850271939,
Kavyanjali Pure Veg,Restaurant,"Karvenagar, PMC","South Indian, Veg",2064002314,9049259553
Hotel Sai Pure Veg Restaurant,Restaurant,"Kondhwa, PMC","Maharashtrian, Veg",9371030641,
Tulsi Pure Veg Restaurant,Restaurant,"Baner, PMC","Maharashtrian, Veg",2060300100,
Savtamali Restaurant,Restaurant,"Markal, PMC","Snacks, Veg",2135246235,
Ashirwad Restaurant,Restaurant,"Kothrud, PMC","Maharashtrian, Veg",2025380478,
Hotel Legeth,Restaurant,"Sadashiv Peth, PMC","Multi-cuisine, Veg",2065291189,
Samarth Hotel,Restaurant,"Daund, PMC","Snacks, Veg",2117262227,9422985270
Madhura Restaurant,Restaurant,"Pune Railway Station, PMC","Maharashtrian, Multi-cuisine, Veg",2026125886,
Amit Restaurant,Restaurant,"Bhor, PMC","Snacks, Veg",2113222101,
Ganesh Dabeli,Restaurant,"Bhor, PMC","Snacks, Veg",2113224493,
Hotel Rajmahal,Restaurant,"Narayangaon, PMC","Multi-cuisine, Veg",9881938310,
Hotel Sonali,Restaurant,"Shinoli, PMC","Snacks, Veg",2133252441,
Manilal Swarupchand,Restaurant,"Shukrawar Peth, PMC","Maharashtrian, Veg",2024453465,
Amar Deep Hotel,Restaurant,"Shinoli, PMC","South Indian, Veg",2133252322,
Hotel Sai,Restaurant,"Hadapsar, PMC","Indian, Multi-cuisine, Veg",2060780902,
Interval Bhel House,Restaurant,"Rasta Peth, PMC","Street Food, Veg",2026120937,
Shri Krishna Hotel,Restaurant,"Ala, PMC","Snacks, Veg",2132263707,
Hotel Kanchan,Restaurant,"Narayan Peth, PMC","South Indian, Veg",2060201659,9371077691
Samrat Veg Restaurant,Restaurant,"Market Yard, PMC","Indian, Veg",2026438789,
Hotel Akshaya,Restaurant,"Market Yard, PMC","South Indian, Veg",2024268948,
Puneri Zaika,Restaurant,"Swar Gate, PMC","Outdoor Seating, Fast Food, Veg",2024228303,
Hotel Hrushikesh,Restaurant,"Ane, PMC","Snacks, Veg",2132275237,
Priyanka Hotel,Restaurant,"Ala, PMC","Snacks, Veg",2132262454,
Shiv Shambho Snacks,Restaurant,"Narayangaon, PMC","Snacks, Veg",2132245271,
Joshi Wadewale,Restaurant,"Nana Peth, PMC","South Indian, Veg",2024329789,
Hotel Samrat,Restaurant,"Bibvewadi, PMC","Indian, Veg",2060201416,
Hotel Shivkranti,Restaurant,"Shukrawar Peth, PMC","Maharashtrian,Multi-Cuisine, Veg",2024457601,
Ashish Restaurant,Restaurant,"Karve Nagar, PMC","Indian, Veg",2025471692,
Aneshwar Bhavan,Restaurant,"Ane, PMC","South Indian, Veg",2132275230,
Hotel Gagangiri,Restaurant,"Karve Nagar, PMC","Maharashtrian, Veg",2025451834,
Mahalaxmi Hotel,Restaurant,"Talegaon Dabhade, PMC","South Indian, Veg",2114228512,
Sargam Bhel Restaurant,Restaurant,"Bibvewadi, PMC","Snacks,Street Food, Veg",9922484238,
Dilip Hotel,Restaurant,"Talegaon Dabhade, PMC","Snacks, Veg",2114231769,
Prasad Hotel,Restaurant,"Junnar, PMC","Maharashtrian, Veg",2132275448,9423921066
Hotel Sairaj Pure Veg,Restaurant,"Lal Bahadur Shastri Road, PMC","South Indian, Veg",2024531047,
Rambhau Bhel Bhaji Centre,Restaurant,"Daund, PMC","Snacks,Street Food, Veg",2117262912,
Shree Kamal Restaurant,Restaurant,"Pimpri, PCMC","Maharashtrian, Veg",2060302840,9422500446
Hotel Ganesh,Restaurant,"Ranjani, PMC","Indian, Veg",2133282311,9960550871
Thanda Mamala Restaurant,Restaurant,"Talegaon Dabhade, PMC","Multi-cuisine, Veg",2114225757,
Peshwa Restaurant,Restaurant,"Aundh, PMC","Maharashtrian, Veg",2025889267,
Whispering Wood Restaurant,Restaurant,"Lonavala, PMC","Multi-cuisine, Non-Veg",20279340,
Picnic Package,Restaurant,"Lonavala, PMC","Chinese, Indian, Punjabi, Snacks, South Indian",9819739444,
NCR Restaurant,Restaurant,"Shivaji Nagar, PMC","Multi-cuisine, North Indian, Veg",2025533689,9822308154
Sonali Hotel,Restaurant,"Bhor, PMC","Snacks, Veg",2113224167,
Raj Hotel,Restaurant,"Belha, PMC","Indian, Veg",2132276128,9960291160
Hemant Dhaba,Restaurant,"Ala, PMC","Fast Food,Maharashtrian, Veg",2132284499,
Hotel Tirupati Balaji,Restaurant,"Belha, PMC","Snacks, Veg",2132276477,
Nimantran Restaurant,Restaurant,"Sinhagad, PMC","South Indian, Veg",2024353001,
Shri Krishna Palace,Restaurant,"Pune Railway Station, PMC","South Indian, Veg",2026126169,9822024060
Aman Restaurant,Restaurant,"Pune Railway Station, PMC","South Indian, Veg",2026505090,
Modern Restaurant,Restaurant,"Shaniwar Peth, PMC","Multi-cuisine, Veg",2024436431,
Tuljabhavani Restaurant,Restaurant,"Chakan, PCMC","Maharashtrian, Veg",2135253005,9921366936
ST Canteen,Restaurant,"Aptale, PMC","Maharashtrian, Veg",2132231108,
Datta Vishranti Restaurant,Restaurant,"Belha, PMC","Maharashtrian, Veg",2132276243,
Avinash Restaurant,Restaurant,"Bhor, PMC","Fast Food,Indian, Veg",2113284763,
Hotel Savatamali,Restaurant,"Belha, PMC","Snacks, Veg",2132276692,
Belhe Restaurant,Restaurant,"Belha, PMC","Snacks, Veg",2132276246,
Kulkarni Fast Food,Restaurant,"Indrayani darshan dehu road (n, PCMC","Fast Food, Veg",2027675369,9776263997
Rajkamal Restaurant,Restaurant,"Belha, PMC","Indian, Veg",2132276308,
Maharashtra Bhel,Restaurant,"Loni Kalbhor, PMC","Street Food, Veg",2026912134,
Hotel Vaishali,Restaurant,"Uruli, PMC","Maharashtrian, Veg",2026926632,9422551009
Amrapali Restaurant,Restaurant,"Deccan Gymkhana, PMC","Continental,Indian,Multi-Cuisine, Veg",2025531252,
Bhairavee The Veg Mania,Restaurant,"Baner, PMC","Chinese, Continental, Multi-Cuisine",2027293613,9822007370
Aroma Restaurant,Restaurant,"Ganeshkhind Cave Road, PMC","North Indian, Non-Veg",2025656321,
Khushboo Pure Veg Family Restaurant,Restaurant,"Bibvewadi, PMC","Chinese, Punjabi, South Indian, Veg",2024275266,9422321049
Panchavati Gaurav,Restaurant,"Bhandarkar Road, PMC","Gujarati, Multi-Cuisine, Rajasthani, Veg",2025674042,
Simply Idlicious,Restaurant,"Aundh, PMC","South Indian, Veg",9823316899,
Woodland Veg Restaurant,Restaurant,"Padmavati, PMC","South Indian, Veg",2024217786,
Hotel Samudra,Restaurant,"Karve Road, PMC","Fast Food,Indian,Juices,Multi-Cuisine, Veg",2025464155,
Om Jaishankar,Restaurant,"Camp, PMC","Outdoor Seating, Indian, Veg",9822054252,
Agatya Restaurant,Restaurant,"Budhwar Peth, PMC","Outdoor Seating,  Punjabi, South Indian, Veg",2024456019,
Swanand Veg Restaurant,Restaurant,"Warje, PMC","South Indian, Veg",2065702390,
Meghdoot,Restaurant,"Bibvewadi, PMC","Outdoor Seating, Indian,Multi-Cuisine, Veg",2032500077,
Brahma Garden,Restaurant,"Sinhagad, PMC","Outdoor Seating, Indian,Multi-Cuisine, Veg",2024358292,
Borawakes Biryani House,Restaurant,"Kothrud, PMC","Biryani, Tandoori, Non-Veg",2025442279,9422034501
Garonda Restaurant,Restaurant,"Pimpri, PCMC","Multi-Cuisine,South Indian, Veg",2027456561,
Dosa Plaza,Restaurant,"Khalapur, PCMC","Idlis And Dosas, Veg, Sodexo,Ticket Restaurant",,
Damroo Pure Veg Family Restaurant,Restaurant,"Kondhwa, PMC","Multi-cuisine, North Indian, Veg",2026800004,
Sarthi Restaurant,Restaurant,"Erandwana, PMC","Outdoor Seating, Chinese, Maharashtrian",2025433388,
Hotel Gavkari,Restaurant,"Ambegaon, PMC","Maharashtrian, Non-Veg",7620577347,
Nishu's,Restaurant,"Hadapsar, PMC","Chinese, Indian, Punjabi, Non-Veg",9423245628,
Hotel Santosh Sabar,Restaurant,"Camp, PMC","Punjabi, Non-Veg",9850085324,
Utopia Restaurant - The Taste Of Kolkata,Restaurant,"Paud Road, PMC","Bengali, North Indian, Non-Veg",8806037920,
The Green Villa,Restaurant,"Koregaon Park, PMC","Multi-cuisine, Non-Veg",2064000518,9595213123
Hotel Kanak,Restaurant,"Camp, PMC","Children's Play Area,Outdoor Seating",2026431195,
Annapoorna Restaurant,Restaurant,"Wanworie, PMC","Outdoor Seating, Chinese, Juices, Punjabi",2026852889,9970557964
Shiva Restaurant,Restaurant,"Navi Peth, PMC","Chinese,Kolhapuri, Maharashtrian, Punjabi, Veg",9822323225,
Hotel Shreenath,Restaurant,"Market Yard, PMC","Chinese, Indian, Punjabi, Non-Veg",9822045549,
Kokan Fish Family Restaurant,Restaurant,"Kothrud, PMC","Seafood, Non-Veg",2025443132,9422536007
Woodies,Restaurant,"Pimpri, PCMC","Chinese, Indian, Punjabi, Non-Veg",9890439382,
Kashish Restaurant & Biryani Centre,Restaurant,"Viman Nagar, PMC","Multi-cuisine, Non-Veg",2064058141,9960351671
Zaika Pure Veg,Restaurant,"Karve Nagar, PMC","South Indian, Veg",9657257150,
Hotel Shraddha,Restaurant,"Karve Nagar, PMC","Multi-cuisine, Punjabi, Non-Veg",9822191929,
Shamli Pure Veg,Restaurant,"Mundhawa, PMC","North Indian, Veg",2026890245,
Moksha,Restaurant,"Salunke Vihar, PMC","Indian, Tandoori, Non-Veg",9604420607,
Bighdey Nawab,Restaurant,"Viman Nagar, PMC","Lucknowi, Non-Veg",2026631001,9765428750
The Bong Connection,Restaurant,"Kondhwa, PMC","Bengali, Non-Veg",2026805397,9822693639
Gandharv Restaurant,Restaurant,"Shivaji Nagar, PMC","North Indian, South Indian, Veg",2025533423,
Baat Cheet Veg & Non-Veg Restaurant,Restaurant,"Baner, PMC","Outdoor Seating, Chat,Maharashtrian, Non-Veg",2065101515,
Raj Restaurant,Restaurant,"Warje, PMC","Outdoor Seating, Punjabi, Non-Veg",9850483377,
Take Away Junction,Restaurant,"Aundh, PMC","Chinese, Indian, Non-Veg",2027299652,7387479991
Mast Kalandar,Restaurant,"Hinjewadi, PMC","North Indian, Veg, Sodexo",2060126044,
Friendz Dining,Restaurant,"Dhanori, PMC","Chinese, Multi-cuisine, North Indian, Non-Veg",9145860082,
Dragon Indian And Chinese Fast Food Restaurant,Restaurant,"Deccan Gymkhana, PMC","Outdoor Seating, Chinese, Indian, Non-Veg",9890286611,
Malwani Naka,Restaurant,"Sadashiv Peth, PMC","Seafood, Non-Veg",2065293970,
Vithal Kamats,Restaurant,"Bibvewadi, PMC","Maharashtrian, Multi-cuisine, Veg, Sodexo",2065226284,
Tandoori Point,Restaurant,"Baner road, PMC","Chinese, Multi-cuisine, Non-Veg",2032327835,9552278866
Italy Live,Restaurant,"Hadapsar, PMC","Italian, Non-Veg",2067260238,9822295057
Sujata Mastani,Restaurant,"Camp, PMC","Chinese, Multi-cuisine, Non-Veg",9822716703,
Chutneys Veg Restaurant,Restaurant,"Camp, PMC","South Indian, Veg",2026123703,
Roll House,Restaurant,"Paud Road, PMC","Outdoor Seating, Chinese, North Indian",9822518032,
Rolls Mania,Restaurant,"Senapati Bapat Marg, PMC","Chinese, Non-Veg",2065293927,
Baan Thai Restaurant,Restaurant,"Kondhwa Khurd, PMC","Thai, Non-Veg",2026834276,9822259555
Kailash Parbat,Restaurant,"Camp, PMC","Punjabi, Sindhi, Veg",2026333004,
Dev Uncle Kitchen Restaurant,Restaurant,"Bibvewadi, PMC","Outdoor Seating, Indian, Sizzlers, Veg, Sodexo",2065240849,9890650588
Pratik Biryani House,Restaurant,"Chinchwad, PCMC","Biryani, Non-Veg",2027453626,
Grubshup,Restaurant,"Law College Road, PMC","Lebanese, Non-Veg",9552510426,
Makkhan Maar Ke 2,Restaurant,"Kalyani Nagar, PMC","Chinese, Non-Veg",9764653533,
Hotel Sarvodaya,Restaurant,"Vadgaon Sheri, PMC","South Indian, Veg",2027036606,
Buddy Chef,Restaurant,"Kothrud, PMC","Fast Food,North Indian,Tandoori, Non-Veg",2064014949,
Firangi Tadka,Restaurant,"Kalyani Nagar, PMC","Chinese, Multi-cuisine, Punjabi, Veg",2026688111,
Kadhai,Restaurant,"Aundh, PMC","Fast Food, Street Food, Veg",9225555566,
Curry Leaf,Restaurant,"Vadgaon Sheri, PMC","Punjabi, Veg",8379061313,
Bombay Biryani,Restaurant,"Chinchwad, PMC","Biryani, Non-Veg, Sodexo",7507731201,
Eighteen Takeaways,Restaurant,"Balewadi, PCMC","Fast Food, North Indian, Non-Veg",2069339988,
Falahaar,Restaurant,"Bibwewadi, PMC","Chat, Fast Food, Pizza, Snacks, Veg",8390923999,
Rose Wood,Restaurant,"Thergaon, PMC","Chinese, Indian, Multi-Cuisine, Tandoori, Veg",2027261200,9011321200
Rasoii,Restaurant,"Pimple Saudagar, PMC","North Indian, Punjabi, Veg",9975612480,
Zanakaa,Restaurant,"Bibwewadi, PMC","Chinese, Indian, Tandoori, Non-Veg",2024204455,8551868901
Tarun Punjab,Restaurant,"Fatima Nagar, PMC","Chinese, Punjabi, Non-Veg",2032399966,
Mummy Its Yummy,Restaurant,"Khadki, PMC","Punjabi, Non-Veg",9762453476,
Yummmy Kathi Rolls,Restaurant,"Ghorpadi, PCMC","Chinese, Indian, Kebabs, Tandoori, Non-Veg",9823525995,
That Baat,Restaurant,"Kothrud, PMC","Maharashtrian, Multi-cuisine, Rajasthani, Veg",2025433666,
A Spicy Treat,Restaurant,"Aundh, PMC","Chinese, Indian, Seafood, Non-Veg",2060505061,
Yarsagumba,Restaurant,"Dapodi, PCMC","Chinese, Indian, Non-Veg",7385763937,
Red Chillies Veg Diet,Restaurant,"Kharadi, PMC","Multi-Cuisine, North Indian, Veg",2027001198,9372854287
Robin's Restaurant And Fast Food,Restaurant,"Khadki, PMC","Chinese, Indian, Non-Veg",2025691586,9766533696
Kerala Cafe,Restaurant,"Ghorpade Peth, PMC","Indian, Keralite, Multi-Cuisine, Seafood, Non-Veg",9822764124,
The Momo's,Restaurant,"Pimple Saudagar, PMC","Outdoor Seating,  Chinese, Fast Food, Non-Veg",2065114000,9604853893
Trushna Garden Restaurant,Restaurant,"Chinchwad, PCMC","Children's Play Area,Outdoor Seating",2065333596,9823733901
Claypot,Restaurant,"Kharadi, PMC","Outdoor Seating,  Chinese, Multi-Cuisine, Non-Veg",2027042329,8806011060
Siddhi Pure Veg,Restaurant,"Erandwana, PMC","Outdoor Seating, Chinese, Italian, Maharashtrian",2065603337,9823185454
BeeJaan's Restaurant,Restaurant,"Fergusson College Road, PMC","Mughlai, Non-Veg",2065297776,9923027372
Kebab Studio,Restaurant,"Koregaon Park, PMC","Indian, Non-Veg",9595133933,
Miniwok Oriental Kitchen,Restaurant,"Model Colony, PMC","Outdoor Seating,  Chinese, Thai, Non-Veg",9029149694,
Food2All,Restaurant,"Dattawadi, PMC","Biryani, Non-Veg",9075172224,
Crazee Chillies,Restaurant,"Wanowarie, PMC","North Indian, Snacks, Non-Veg",2065221616,9823151616
Goli Vada Pav,Restaurant,"Baner, PMC","Outdoor Seating, Wi-Fi Zone, Goli Vada Pav",2046703232,9049294250
Damino's Pizza,Restaurant,"Swar Gate, PMC","Pizza, Non-Veg, Sodexo,Ticket Restaurant",2066095090,
Fly Curry,Restaurant,"Pimple Saudagar, PMC","Chinese, Mughlai, North Indian, Non-Veg",,
Yumme Tumme,Restaurant,"Wanowarie, PMC","Outdoor Seating,  Chinese, Fast Food, Non-Veg",9881107234,
Malhaar Restaurant,Restaurant,"Chinchwad, PCMC","North Indian, Non-Veg",2027459298,
Faaso's Wraps,Restaurant,"Shinde Nagar, PMC","Fast Food, Snacks,Wraps, Veg, Sodexo",2065225583,7304253939
Maratha Samrat,Restaurant,"Baner, PMC","Maharashtrian, Non-Veg",9922115816,
The 6th Floor Restaurant,Restaurant,"Deccan Gymkhana, PMC","Mughlai, Non-Veg, Sodexo,Ticket Restaurant",,
Biryanis Of India (Home Delivery Only),Restaurant,"Kondhwa, PMC","Biryani,Sweets, Non-Veg",7276222333,
Pathan Laziz Biryani House,Restaurant,"Erandwana, PMC","Indian, Non-Veg",9890164456,
Pizza Hut,Restaurant,"Jangali Maharaj Road, PMC","Pizza, Non-Veg, Sodexo,Ticket Restaurant",2026351254,9860251345
Baasuri Pure Veg Restaurant,Restaurant,"Parvati, PMC","Maharashtrian, Veg",2024221955,
Mona Food,Restaurant,"Camp, PMC","North Indian, Veg",2026121757,
Relax Pure Veg,Restaurant,"Sahakar Nagar, PMC","Indian,Multi-Cuisine, Veg",2024231110,9822074694
Free Tibet Chinese Corner,Restaurant,"Shastri Nagar, PMC","Chinese, Tibetan, Non-Veg",2026691435,9850529929
Ashoka Restaurant,Restaurant,"Kasarwadi, PCMC","Multi-Cuisine,North Indian, Veg",2027111527,
Shubham Pure Veg Restaurant,Restaurant,"Shivaji Nagar, PMC","Punjabi, Veg",2025536183,
Gomantak Restaurant,Restaurant,"Deccan Gymkhana, PMC","Goan, Malwani, Non-Veg",2025539378,
Sweekar Restaurant,Restaurant,"Erandwana, PMC","Maharashtrian,Multi-Cuisine, Veg",2025435659,
Grand Darbar Restaurant,Restaurant,"Camp, PMC","Chinese,Multi-Cuisine, Non-Veg",2026347647,9823525257
Prithvi Multi Cuisine Veg Restaurant,Restaurant,"Kothrud, PMC","Outdoor Seating, Multi-Cuisine,North Indian, Veg",2025454126,
Atithee Restaurant,Restaurant,"Kothrud, PMC","Multi-Cuisine,North Indian, Veg",2025458634,
Dime N Dine,Restaurant,"Salunke Vihar, PMC","Outdoor Seating, Bengali,Multi-Cuisine, Non-Veg",2026852357,
Sumitra Restaurant,Restaurant,"Kothrud, PMC","Outdoor Seating,  Chinese, Indian, Punjabi, Veg",2025445788,9921532464
Hotel Geeta Prasad,Restaurant,"Karve Nagar, PMC","Outdoor Seating,  South Indian, Non-Veg",2025430614,9818778178
Hotel Shrushti,Restaurant,"Sadashiv Peth, PMC","Maharashtrian, Veg",2024432031,9422021022
Sarthak Pure Veg Restaurant,Restaurant,"Karve Nagar, PMC","Multi-Cuisine,Punjabi, Veg",2025455430,
